,train_texts,train_labels
0,"¿Quién es Mariquita Pérez? @usuario le cuenta a @usuario y @usuario cómo nació este divertido personaje, entérate mañana en la repetición a las 3:30 pm por @usuario hashtag montse yjoe hashtag público conocedor hashtag todos somos unicable @usuario  emoji televisión emoji  emoji cara sonrojada emoji  url",1
1,@usuario Si emoji luna nueva con cara emoji  me gusta la pelea. Jijiji vamos a darnos en la madre mariquita,2
2,"Cuando le preguntó a mi papá, qué haría si fuera lesbiana??? url",0
3,"""como si es joto"" SLAY QUEEN url",0
4,"LOL. ¿Les había dicho que todas las reglas para excluir gente trans afectan más a la gente que NO es trans?

Giggle es una app ""solo para mujeres que no son trans"" 

y a cada rato las morras (Cis) dejan comentarios de ""no me pudieron validar la foto para registrar"" url",0
5,"hashtag monitoreodemedios Alcaldesa de hashtag chipilo clausura restaurante que emplea a homosexual  
url hashtag puebla",0
6,Noche loca xD,1
7,Los Tiktoks usando el audio de Caty la catarina gay me están dando las ganas de vivir que se me fueron el lunes  emoji cara llorando de risa emoji  emoji cara llorando de risa emoji,0
8,"GDL emoji chincheta redonda emoji 
.
.
.
hashtag guadalajara hashtag home hashtag gay hashtag happy hashtag smile hashtag saturday hashtag instagay hashtag jalisco hashtag mirrorselfie hashtag goodvibes en Guadalajara, Jalisco url",0
9,Asesinan a reina gay en Martínez de la Torre; dejan el cuerpo cerca del Río Bobos url vía @usuario @usuario @usuario @usuario @usuario,0
10,"¿Como llevó DOS AÑOS como comediante trans sin hacer NI UN chiste de ""mi pack""?

DOS. AÑOS. * entrega su carné de persona chistosa * url",0
11,"@usuario para mujeres trans? Y los HOMBRES trans?. Tu solución no escala, nadie va a pagar por hacer 4 baños por qué no podemos educarnos.",0
12,Los policías y los jotos.,2
13,"Sin comentarios  emoji mono emoji 

hashtag mexican gay hashtag gay hashtag gay boy hashtag gay world hashtag gay travel hashtag gay guy hashtag gay chicano hashtag gay man hashtag gay bear hashtag scruffygay hashtag queer hashtag gay mexico hashtag gay europe hashtag gay geek hashtag gay male hashtag chicano gay hashtag gay asian hashtag insta gay hashtag gay brazil hashtag gay dude url",0
14,Oye bebe tú me tienes Loca,1
15,OYE @usuario @usuario ¿Ya sancionaron a los ASNOS de policias que tienen y que arrestaron a una pareja Gay en tu Municipio por besarse en via pública? hashtag stoplgbtfobia  emoji bandera del arcoíris emoji  url,0
16,"@usuario @usuario @usuario @usuario @usuario Hmmm te entiendo. Reconocer diferencias implica luchar por terceros.

Solo, ¿como no aplica esto con mujeres indígenas? O trans-nacionales?

Ahora, como yo lo veo -digamos que desde lo personal- yo me estoy sumando a tu lucha. No negándola.",2
17,La peor vestida de la semana es Raquel Bigorra con su look de otoño en verano: La carismática conductora mezcló prendas básicas de dos estaciones diferentes url (vía ElUniversal) url,1
18,Busco hashtag casadosconhijos hashtag casado hashtag curiosos hashtag bisex hashtag mayates hashtag chacales hashtag maduros hashtag heteros para sólo hashtag sexo MandenMD solo hashtag placer hashtag coger hashtag diversion hashtag discrecion hashtag puerto vallarta  emoji cien puntos emoji  url,0
19,Ella!  emoji cara lanzando un beso emoji  emoji cara sonriendo con ojos de corazón emoji 👩‍‍ emoji mujer emoji  mi nene loca emoji cara con ojos cerrados y lengua fuera emoji  emoji cara sacando la lengua y guiñando un ojo emoji  emoji cara sacando la lengua emoji  emoji cara sonriendo con los ojos cerrados emoji  @usuario Hotel Marriott Villahermosa url,1
20,"@usuario No solo eso. ¿A cuántas personas trans CONOCEN? 

Así de saludar. Del cotidiano. Como para que les impacte.

Nos culpan de ser EL FINAL DEL DEPORTE FEMENIL cuando la verdad cuesta mucho trabajo reunir suficientes mujeres trans para hacer UN equipo de fútbol.",0
21,Maricas url,2
22,"@usuario @usuario @usuario @usuario @usuario Sí es viable lo que pasa es que no te interesa ver todos los MM de MMs de $ que se roban, desvíos o tranzas y delitos los del hashtag prian, y los sueldazos MM que tienen T2s hashtag funcionarios publicos, la falta de pago de impuestos a ellos y a trans.. ales, L.O. bajaría sueldos + impuesto",1
23,Alguna chica trans que esté en Vallarta? Tengo fantasía de coger con una trans !!,0
24,"@usuario .. ¿Fan de Sabrina, y topa a todxs atractivxs?

OIGAN TODXS, ENCONTRÉ A LA BISEXUAL. ESTÁ ACÁ, EN TWITTER. ¡VÉANLA!",0
25,"@usuario Jjaja pos no lo tengo, mariquita. Te llamaría para decirte ""gay"" o algo así, después colgaría.",2
26,"@usuario El drag es amor.

Y eso estás haciendo. Te estás drag-eando (nomás que de modo digital). Y todo boni con hacer tu drag.",0
27,"@usuario @usuario @usuario Te invito a revisar dichos resolutivos (Congreso Trans) y la iniciativa de reforma al Art 4o constitucional, está en las redes del partido, del GPPRD, de Elizabeth Perez y del Coordinador Cházaro. Saludos.",0
28,@usuario par de maricones,2
29,Mande puta ?,0
30,¿Ya lograron las feministas radicales trans excluyentes detener a las personas trans?,0
31,"Y recuerden, para la gente antiderechos ""ideología de género"" incluye la LOCA IDEA que las mujeres (y gente no binaria) están a la par e iguales que los hombres. Según ellxs, esto no debería de ser.

Por eso a veces dicen las parejas lesbianas también son ""ideología de género"".",0
32,"hashtag lo más leído "" Estrella transgénero, brutalmente asesinada url",0
33,Sigamos al pendiente. Gracias @usuario y confiamos que la @usuario respalde con una histórica el por reconocimiento federal de los derechos de las personas hashtag trans en particular el acceso a la identidad y al libre desarrollo de la personalidad url,0
34,@usuario que pendejo estás con los jóvenes de la selección. El temple lo demostrarán en la selección. Donde demostraste que eras comentaris hijo de puta!!!,1
35,No mms pinche @usuario marica que te pico una hormiga o que,2
36,@usuario Otra jota liosa de derecha,2
37,Donald Trump prohíbe personas transgénero en el Ejército estadounidense. Hablamos con @usuario en hashtag atando cabos,0
38,Me gustaría estar haciéndote piojito mientras te decides que puta película poner en la Netflix.,1
39,Estoy loca si ando viendo vestidos de novia ?? Jjaja me amo xd,1
40,@usuario JAJAJA Ni el odio de dios combinado al tuyo le quitará lo travesti que se ve Jared.,2
41,"Help, @usuario :( que como que la @usuario no deja jugar a una mujer trans? 
¿Sabes que se podría hacer? url",0
42,"Y me queda el ¿esto sucede? 

Súper me suena a ""CUIDADO, LAS LESBIANAS VIENEN POR TU ESPOSA"" contado desde mil ángulos.

Me causó un poco de shock lol. Resulta es todo un lugar común en la narrativa de la tele/cine. url",0
43,Una estudiante se quedó sin baile de graduación por la forma en la que iba vestida en Carolina del Norte; un maestro la expulsó del evento,1
44,"@usuario Querido @usuario .. LAS! LAS transgénero. Por su discriminacion y prejuicio, gracias.",0
45,"emoji ￣￣￣ emoji 
   En esta cuenta
   se respeta y se ama a las
   personas trans  emoji corazón morado emoji  emoji bandera transgénero emoji 
 emoji ＿＿＿ emoji  
   (\__/) | emoji 
   (ㅅ) emoji |
   / 　 づ url",0
46,"@usuario @usuario Amarlo, apoyarlo, tratar de ser buen papá, nada cambia. Miedo que fuera homosexual y no se atrviera a disfrutar su sexualidad o que viva sin amor o peor que no respete el derecho de los otros que no celebre la diversidad.",0
47,@usuario Chinguen a su puta defensa,1
48,@usuario @usuario Ay es ni amike!! La Miki minach,1
49,"@usuario Se debería hacer una petición, para que está desinformadora le quitarán, el título de, periodista o que cosa es, la loca esa.",1
50,@usuario si. Es una costumbre social que no vivimos. Aunque he conocido a chicas trans que cargan tampones para esconderse LOL. Ridículas.,2
